"146,376"
"147,079"
"159,336"
"163,669"
"170,068"
"168,663"
"169,890"
"170,364"
"164,617"
"173,655"
"171,547"
"208,838"
"153,221"
"150,087"
"170,439"
"176,456"
"182,231"
"181,535"
"183,682"
"183,318"
"177,406"
"182,737"
"187,443"
"224,540"
"161,349"
"162,841"
"192,319"
"189,569"
"194,927"
"197,946"
"193,355"
"202,388"
"193,954"
"197,956"
"202,520"
"241,111"
"175,344"
"172,138"
"201,279"
"196,039"
"210,478"
"211,844"
"203,411"
"214,248"
"202,122"
"204,044"
"212,190"
"247,491"
"185,019"
"192,380"
"212,110"
"211,718"
"226,936"
"217,511"
"218,111"
"226,062"
"209,250"
"222,663"
"223,953"
"258,081"
"200,389"
"197,556"
"225,133"
"220,329"
"234,190"
"227,365"
"231,521"
"235,252"
"222,807"
"232,251"
"228,284"
"271,054"
"207,853"
"203,863"
"230,313"
"234,503"
"245,027"
"244,067"
"241,431"
"240,462"
"231,243"
"244,234"
"240,991"
"288,969"
"218,126"
"220,650"
"253,550"
"250,783"
"262,113"
"260,918"
"262,051"
"265,089"
"253,905"
"258,040"
"264,106"
"317,659"
"236,422"
"250,580"
"279,515"
"264,417"
"283,706"
"281,288"
"271,146"
"283,944"
"269,155"
"270,899"
"276,507"
"319,958"
"250,746"
"247,772"
"280,449"
"274,925"
"296,013"
"287,881"
"279,098"
"294,763"
"261,924"
"291,596"
"287,537"
"326,202"
"255,598"
"253,086"
"285,261"
"284,747"
"300,402"
"288,854"
"295,433"
"307,256"
"273,189"
"287,540"
"290,705"
"337,006"
"268,328"
"259,051"
"293,693"
"294,251"
"312,389"
"300,998"
"309,923"
"317,056"
"293,890"
"304,036"
"301,265"
"357,577"
"281,460"
"282,444"
"319,077"
"315,191"
"328,408"
"321,044"
"328,000"
"326,317"
"313,524"
"319,726"
"324,259"
"387,155"
"293,261"
"295,062"
"339,141"
"335,632"
"345,348"
"350,945"
"351,827"
"355,701"
"333,289"
"336,134"
"343,798"
"405,608"
"318,546"
"314,051"
"361,993"
"351,667"
"373,560"
"366,615"
"362,203"
"375,795"
"346,214"
"348,796"
"356,928"
"417,991"
"328,877"
"323,162"
"374,142"
"358,535"
"391,512"
"376,639"
"372,354"
"388,016"
"353,936"
"368,681"
"377,802"
"426,077"
"342,639"
"343,893"
"372,907"
"368,920"
"397,956"
"378,507"
"383,726"
"382,862"
"350,542"
"349,847"
"335,545"
"384,236"
"310,188"
"299,412"
"328,526"
"329,854"
"347,728"
"344,405"
"348,071"
"353,392"
"324,646"
"338,610"
"339,363"
"400,281"
"314,557"
"310,925"
"360,679"
"356,333"
"365,605"
"358,604"
"361,939"
"362,627"
"345,999"
"355,209"
"365,828"
"426,663"
"335,587"
"337,314"
"387,088"
"380,775"
"391,999"
"388,700"
"384,682"
"394,609"
"375,025"
"379,482"
"391,220"
"451,821"
"355,184"
"372,401"
"414,149"
"392,949"
"418,608"
"400,975"
"396,026"
"417,922"
"385,609"
"399,400"
"411,065"
"462,102"
"375,587"
"373,987"
"421,719"
"408,544"
"437,188"
"414,714"
"422,410"
"435,005"
"396,213"
"415,700"
"423,786"
"476,910"
"383,054"
"380,019"
"432,651"
"431,396"
"459,231"
"433,282"
"443,281"
"451,366"
"421,424"
"438,457"
"439,165"
"502,330"
"398,027"
"388,063"
"445,970"
"439,637"
"464,785"
"449,794"
"459,533"
"457,905"
"432,782"
"446,593"
"446,773"
"519,625"
"401,982"
"415,189"
"461,198"
"451,468"
"470,430"
"465,023"
"462,162"
"471,996"
"448,749"
"453,088"
"467,765"
"540,273"
"421,560"
"417,983"
"483,059"
"466,058"
"495,264"
"482,456"
"475,984"
"491,090"
"470,406"
"476,925"
"499,446"
"560,379"
"445,484"
"437,005"
"510,380"
"482,412"
"530,082"
"510,029"
"508,010"
"523,933"
"481,094"
"506,360"
"522,804"
"563,497"
"459,143"
"444,794"
"518,304"
"510,176"
"547,036"
"517,984"
"532,996"
"547,383"
"498,792"
"525,967"
"537,635"
